fighter_id,name,nickname,nationality,weight_class,height_cm,reach_cm,stance,birth_date,age_reported,wins,losses,draws,no_contests,wins_ko,wins_sub,wins_dec,slpm,str_acc_pct,sapm,str_def_pct,td_avg,td_acc_pct,td_def_pct,sub_avg,avg_fight_time,image_url,ranking,source,source_url,last_updated
islam_makhachev,Islam Makhachev,,Russia,Women's Bantamweight,178.0,179.0,Southpaw,,34,28,1,0,0,5,13,10,9.0,,,,,,,2.2,,,#1 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/islam_makhachev.html,2026-07-23
ilia_topuria,Ilia Topuria,,Germany,Women's Bantamweight,170.0,175.0,Orthodox,,29,17,1,0,0,6,8,2,8.0,,,,6.0,,,1.2,,,#2 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/ilia_topuria.html,2026-07-23
khamzat_chimaev,Khamzat Chimaev,,Czechia,Women's Bantamweight,188.0,191.0,Orthodox,,32,15,0,0,0,5,7,3,15.0,,,,8.0,,,1.3,,,#3 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/khamzat_chimaev.html,2026-07-23
alexander_volkanovski,Alexander Volkanovski,,Australia,Women's Bantamweight,168.0,182.0,Orthodox,,37,27,4,0,0,12,3,10,4.0,,,,,,,1.8,,,#4 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/alexander_volkanovski.html,2026-07-23
alex_pereira,Alex Pereira,,S,Women's Bantamweight,194.0,201.0,Orthodox,,39,13,4,0,0,10,0,2,5.0,,,,1.0,,,,,,#5 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/alex_pereira.html,2026-07-23
petr_yan,Petr Yan,,Russia,Women's Bantamweight,171.0,170.0,Switch,,33,20,5,0,0,7,1,12,4.0,,,,,,,1.9,,,#6 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/petr_yan.html,2026-07-23
merab_dvalishvili,Merab Dvalishvili,,Georgia,Women's Bantamweight,168.0,173.0,Orthodox,,35,21,5,0,0,3,2,16,4.0,,,,,,,6.7,,,#7 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/merab_dvalishvili.html,2026-07-23
tom_aspinall,Tom Aspinall,,United Kingdom,Women's Bantamweight,196.0,198.0,Switch,,33,15,3,0,0,11,3,0,,,,,4.0,,,0.7,,,#8 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/tom_aspinall.html,2026-07-23
alexandre_pantoja,Alexandre Pantoja,,Brazil,Women's Bantamweight,165.0,170.0,Orthodox,,36,30,6,0,0,2,11,9,3.0,,,,11.0,,,0.9,,,#9 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/alexandre_pantoja.html,2026-07-23
max_holloway,Max Holloway,,United States,Women's Bantamweight,180.0,175.0,Orthodox,,34,27,9,0,0,11,3,12,4.0,,,,8.0,,,0.3,,,#10 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/max_holloway.html,2026-07-23
joshua_thawng,Joshua Van,,Myanmar,Women's Bantamweight,165.0,163.0,Orthodox,,24,16,2,0,0,7,2,6,,,,,,,,,,,#11 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/joshua_thawng.html,2026-07-23
dricus_du_plessis,Dricus Du Plessis,,South Africa,Women's Bantamweight,185.0,193.0,Switch,,32,23,3,0,0,9,11,3,7.0,,,,9.0,,,1.8,,,#12 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/dricus_du_plessis.html,2026-07-23
magomed_ankalaev,Magomed Ankalaev,,Russia,Women's Bantamweight,191.0,191.0,Switch,,34,21,2,1,0,10,0,9,3.0,,,,9.0,,,,,,#13 Women's Bantamweight,GIDStats.com,https://gidstats.com/fighters/magomed_ankalaev.html,2026-07-23
